[run number],number-strategies,memory-size,overcrowding-threshold,avg-attendance,attendance
1,10,10,40,0,21
1,10,10,40,0,42
1,10,10,40,36,36
1,10,10,40,50,64
1,10,10,40,52,56
1,10,10,40,54.25,61
1,10,10,40,52.6,46
1,10,10,40,52.33333333,51
1,10,10,40,54.57142857,68
1,10,10,40,55.125,59
1,10,10,40,53.44444444,40
1,10,10,40,52.5,44
1,10,10,40,51.45454545,41
1,10,10,40,50.33333333,38
1,10,10,40,50,46
1,10,10,40,50.21428571,53
1,10,10,40,50.6,56
1,10,10,40,50.5625,50
1,10,10,40,50.29411765,46
1,10,10,40,50.38888889,52
1,10,10,40,50.63157895,55
1,10,10,40,50.5,48
1,10,10,40,50.80952381,57
1,10,10,40,50.77272727,50
1,10,10,40,50.43478261,43
1,10,10,40,50,40
1,10,10,40,49.84,46
1,10,10,40,49.96153846,53
1,10,10,40,49.81481481,46
1,10,10,40,49.64285714,45
1,10,10,40,49.55172414,47
1,10,10,40,49.73333333,55
1,10,10,40,49.5483871,44
1,10,10,40,49.65625,53
1,10,10,40,49.90909091,58
1,10,10,40,49.94117647,51
1,10,10,40,49.77142857,44
1,10,10,40,49.47222222,39
1,10,10,40,49.48648649,50
1,10,10,40,49.39473684,46
1,10,10,40,49.25641026,44
1,10,10,40,49.125,44
1,10,10,40,49.36585366,59
1,10,10,40,49.11904762,39
1,10,10,40,49.18604651,52
1,10,10,40,49.27272727,53
1,10,10,40,49.53333333,61
1,10,10,40,49.45652174,46
1,10,10,40,49.34042553,44
1,10,10,40,49.20833333,43
1,10,10,40,49.40816327,59
1,10,10,40,49.24,41
1,10,10,40,49.01960784,38
1,10,10,40,49.17307692,57
1,10,10,40,49.13207547,47
1,10,10,40,49.03703704,44
1,10,10,40,48.96363636,45
1,10,10,40,49.17857143,61
1,10,10,40,49.24561404,53
1,10,10,40,49.24137931,49
1,10,10,40,49.06779661,39
1,10,10,40,49.15,54
1,10,10,40,49.13114754,48
1,10,10,40,49.06451613,45
1,10,10,40,48.98412698,44
1,10,10,40,49.03125,52
1,10,10,40,48.93846154,43
1,10,10,40,48.92424242,48
