[run number],number-strategies,memory-size,overcrowding-threshold,[step],avg-attendance,std
1,1,10,60,100,72.15151515,0.107137391
2,2,10,60,100,57.23232323,0.164277333
3,3,10,60,100,55.02020202,2.135605329
4,4,10,60,100,55.95959596,4.214070716
5,5,10,60,100,58,0
6,6,10,60,100,60.76767677,0.164277333
7,7,10,60,100,58.06060606,0.749961738
8,8,10,60,100,58.70707071,3.328401616
9,9,10,60,100,56.78787879,1.264221215
10,10,10,60,100,56.50505051,3.178409269
11,11,10,60,100,54.1010101,0.635681854
12,12,10,60,100,56.28282828,3.335544109
13,13,10,60,100,57.2020202,0.849956636
14,14,10,60,100,58.6969697,1.19993878
15,15,10,60,100,57.52525253,2.492729966
