[run number],attendance
1.0,21.0
1.0,62.0
1.0,71.0
1.0,49.0
1.0,46.0
1.0,42.0
1.0,34.0
1.0,50.0
1.0,50.0
1.0,59.0
1.0,44.0
1.0,50.0
1.0,36.0
1.0,40.0
1.0,47.0
1.0,56.0
1.0,50.0
1.0,47.0
1.0,39.0
1.0,36.0
1.0,44.0
1.0,51.0
1.0,55.0
1.0,50.0
1.0,40.0
1.0,40.0
1.0,41.0
1.0,51.0
1.0,52.0
1.0,51.0
1.0,39.0
1.0,45.0
1.0,39.0
1.0,54.0
1.0,51.0
1.0,48.0
1.0,39.0
1.0,44.0
1.0,40.0
1.0,53.0
1.0,51.0
1.0,48.0
1.0,38.0
1.0,42.0
1.0,41.0
1.0,53.0
1.0,51.0
1.0,46.0
1.0,40.0
1.0,42.0
1.0,41.0
1.0,52.0
1.0,49.0
1.0,46.0
1.0,41.0
1.0,41.0
1.0,42.0
1.0,51.0
1.0,49.0
1.0,46.0
1.0,44.0
1.0,41.0
1.0,39.0
1.0,50.0
1.0,48.0
1.0,53.0
1.0,40.0
1.0,44.0
1.0,39.0
1.0,49.0
1.0,51.0
1.0,54.0
1.0,38.0
1.0,44.0
1.0,40.0
1.0,50.0
1.0,50.0
1.0,52.0
1.0,39.0
1.0,46.0
1.0,40.0
1.0,50.0
1.0,48.0
1.0,52.0
1.0,41.0
1.0,45.0
1.0,39.0
1.0,49.0
1.0,49.0
1.0,51.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,47.0
1.0,49.0
1.0,53.0
1.0,41.0
1.0,45.0
1.0,38.0
1.0,48.0
1.0,49.0
1.0,55.0
1.0,40.0
1.0,44.0
1.0,39.0
1.0,48.0
1.0,50.0
1.0,55.0
1.0,39.0
1.0,44.0
1.0,39.0
1.0,49.0
1.0,52.0
1.0,53.0
1.0,39.0
1.0,44.0
1.0,38.0
1.0,51.0
1.0,50.0
1.0,52.0
1.0,40.0
1.0,44.0
1.0,37.0
1.0,52.0
1.0,50.0
1.0,52.0
1.0,38.0
1.0,47.0
1.0,37.0
1.0,50.0
1.0,49.0
1.0,55.0
1.0,37.0
1.0,46.0
1.0,39.0
1.0,46.0
1.0,49.0
1.0,55.0
1.0,39.0
1.0,47.0
1.0,38.0
1.0,46.0
1.0,49.0
1.0,55.0
1.0,39.0
1.0,47.0
1.0,37.0
1.0,45.0
1.0,49.0
1.0,55.0
1.0,40.0
1.0,47.0
1.0,37.0
1.0,45.0
1.0,49.0
1.0,54.0
1.0,42.0
1.0,47.0
1.0,38.0
1.0,42.0
1.0,47.0
1.0,54.0
1.0,47.0
1.0,46.0
1.0,39.0
1.0,40.0
1.0,47.0
1.0,52.0
1.0,51.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,47.0
1.0,52.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,37.0
1.0,47.0
1.0,53.0
1.0,53.0
1.0,40.0
1.0,46.0
1.0,37.0
1.0,51.0
1.0,49.0
1.0,56.0
1.0,36.0
1.0,48.0
1.0,38.0
1.0,47.0
1.0,50.0
1.0,52.0
1.0,42.0
1.0,46.0
1.0,41.0
1.0,42.0
1.0,49.0
1.0,51.0
1.0,45.0
1.0,46.0
1.0,40.0
1.0,40.0
1.0,48.0
1.0,50.0
1.0,50.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,48.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,47.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,46.0
1.0,51.0
1.0,53.0
1.0,41.0
1.0,46.0
1.0,40.0
1.0,45.0
1.0,49.0
1.0,54.0
1.0,40.0
1.0,47.0
1.0,37.0
1.0,46.0
1.0,50.0
1.0,55.0
1.0,39.0
1.0,47.0
1.0,37.0
1.0,47.0
1.0,48.0
1.0,55.0
1.0,40.0
1.0,47.0
1.0,38.0
1.0,45.0
1.0,49.0
1.0,54.0
1.0,42.0
1.0,47.0
1.0,38.0
1.0,43.0
1.0,48.0
1.0,53.0
1.0,46.0
1.0,46.0
1.0,39.0
1.0,40.0
1.0,47.0
1.0,52.0
1.0,51.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,47.0
1.0,52.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,37.0
1.0,47.0
1.0,53.0
1.0,53.0
1.0,40.0
1.0,46.0
1.0,37.0
1.0,51.0
1.0,49.0
1.0,56.0
1.0,36.0
1.0,48.0
1.0,38.0
1.0,47.0
1.0,50.0
1.0,52.0
1.0,42.0
1.0,46.0
1.0,41.0
1.0,42.0
1.0,49.0
1.0,51.0
1.0,45.0
1.0,46.0
1.0,40.0
1.0,40.0
1.0,48.0
1.0,50.0
1.0,50.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,48.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,47.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,46.0
1.0,51.0
1.0,53.0
1.0,41.0
1.0,46.0
1.0,40.0
1.0,45.0
1.0,49.0
1.0,54.0
1.0,40.0
1.0,47.0
1.0,37.0
1.0,46.0
1.0,50.0
1.0,55.0
1.0,39.0
1.0,47.0
1.0,37.0
1.0,47.0
1.0,48.0
1.0,55.0
1.0,40.0
1.0,47.0
1.0,38.0
1.0,45.0
1.0,49.0
1.0,54.0
1.0,42.0
1.0,47.0
1.0,38.0
1.0,43.0
1.0,48.0
1.0,53.0
1.0,46.0
1.0,46.0
1.0,39.0
1.0,40.0
1.0,47.0
1.0,52.0
1.0,51.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,47.0
1.0,52.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,37.0
1.0,47.0
1.0,53.0
1.0,53.0
1.0,40.0
1.0,46.0
1.0,37.0
1.0,51.0
1.0,49.0
1.0,56.0
1.0,36.0
1.0,48.0
1.0,38.0
1.0,47.0
1.0,50.0
1.0,52.0
1.0,42.0
1.0,46.0
1.0,41.0
1.0,42.0
1.0,49.0
1.0,51.0
1.0,45.0
1.0,46.0
1.0,40.0
1.0,40.0
1.0,48.0
1.0,50.0
1.0,50.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,48.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,47.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,46.0
1.0,51.0
1.0,53.0
1.0,41.0
1.0,46.0
1.0,40.0
1.0,45.0
1.0,49.0
1.0,54.0
1.0,40.0
1.0,47.0
1.0,37.0
1.0,46.0
1.0,50.0
1.0,55.0
1.0,39.0
1.0,47.0
1.0,37.0
1.0,47.0
1.0,48.0
1.0,55.0
1.0,40.0
1.0,47.0
1.0,38.0
1.0,45.0
1.0,49.0
1.0,54.0
1.0,42.0
1.0,47.0
1.0,38.0
1.0,43.0
1.0,48.0
1.0,53.0
1.0,46.0
1.0,46.0
1.0,39.0
1.0,40.0
1.0,47.0
1.0,52.0
1.0,51.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,47.0
1.0,52.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,37.0
1.0,47.0
1.0,53.0
1.0,53.0
1.0,40.0
1.0,46.0
1.0,37.0
1.0,51.0
1.0,49.0
1.0,56.0
1.0,36.0
1.0,48.0
1.0,38.0
1.0,47.0
1.0,50.0
1.0,52.0
1.0,42.0
1.0,46.0
1.0,41.0
1.0,42.0
1.0,49.0
1.0,51.0
1.0,45.0
1.0,46.0
1.0,40.0
1.0,40.0
1.0,48.0
1.0,50.0
1.0,50.0
1.0,44.0
1.0,42.0
1.0,37.0
1.0,48.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,47.0
1.0,50.0
1.0,54.0
1.0,42.0
1.0,44.0
1.0,39.0
1.0,46.0
1.0,51.0
1.0,53.0
1.0,41.0
2.0,74.0
2.0,60.0
2.0,74.0
2.0,47.0
2.0,43.0
2.0,34.0
2.0,46.0
2.0,57.0
2.0,63.0
2.0,52.0
2.0,49.0
2.0,44.0
2.0,42.0
2.0,56.0
2.0,53.0
2.0,60.0
2.0,50.0
2.0,54.0
2.0,40.0
2.0,54.0
2.0,52.0
2.0,58.0
2.0,53.0
2.0,55.0
2.0,40.0
2.0,54.0
2.0,48.0
2.0,58.0
2.0,54.0
2.0,55.0
2.0,44.0
2.0,53.0
2.0,47.0
2.0,58.0
2.0,53.0
2.0,58.0
2.0,41.0
2.0,57.0
2.0,44.0
2.0,58.0
2.0,53.0
2.0,57.0
