[run number],avg-attendance
1.0,0.0
1.0,0.0
1.0,71.0
1.0,60.0
1.0,55.33333333
1.0,52.0
1.0,48.4
1.0,48.66666667
1.0,48.85714286
1.0,50.125
1.0,49.44444444
1.0,49.5
1.0,48.27272727
1.0,47.58333333
1.0,47.53846154
1.0,48.14285714
1.0,48.26666667
1.0,48.1875
1.0,47.64705882
1.0,47.0
1.0,46.84210526
1.0,47.05
1.0,47.42857143
1.0,47.54545455
1.0,47.2173913
1.0,46.91666667
1.0,46.68
1.0,46.84615385
1.0,47.03703704
1.0,47.17857143
1.0,46.89655172
1.0,46.83333333
1.0,46.58064516
1.0,46.8125
1.0,46.93939394
1.0,46.97058824
1.0,46.74285714
1.0,46.66666667
1.0,46.48648649
1.0,46.65789474
1.0,46.76923077
1.0,46.8
1.0,46.58536585
1.0,46.47619048
1.0,46.34883721
1.0,46.5
1.0,46.6
1.0,46.58695652
1.0,46.44680851
1.0,46.35416667
1.0,46.24489796
1.0,46.36
1.0,46.41176471
1.0,46.40384615
1.0,46.30188679
1.0,46.2037037
1.0,46.12727273
1.0,46.21428571
1.0,46.26315789
1.0,46.25862069
1.0,46.22033898
1.0,46.13333333
1.0,46.01639344
1.0,46.08064516
1.0,46.11111111
1.0,46.21875
1.0,46.12307692
1.0,46.09090909
1.0,45.98507463
1.0,46.02941176
1.0,46.10144928
1.0,46.21428571
1.0,46.09859155
1.0,46.06944444
1.0,45.98630137
1.0,46.04054054
1.0,46.09333333
1.0,46.17105263
1.0,46.07792208
1.0,46.07692308
1.0,46.0
1.0,46.05
1.0,46.07407407
1.0,46.14634146
1.0,46.08433735
1.0,46.07142857
1.0,45.98823529
1.0,46.02325581
1.0,46.05747126
1.0,46.11363636
1.0,46.06741573
1.0,46.04444444
1.0,45.96703297
1.0,45.97826087
1.0,46.01075269
1.0,46.08510638
1.0,46.03157895
1.0,46.02083333
1.0,45.93814433
1.0,45.95918367
1.0,45.98989899
1.0,46.08
1.0,46.01980198
1.0,46.0
1.0,45.93203883
1.0,45.95192308
1.0,45.99047619
1.0,46.0754717
1.0,46.00934579
1.0,45.99074074
1.0,45.9266055
1.0,45.95454545
1.0,46.00900901
1.0,46.07142857
1.0,46.00884956
1.0,45.99122807
1.0,45.92173913
1.0,45.96551724
1.0,46.0
1.0,46.05084746
1.0,46.0
1.0,45.98333333
1.0,45.90909091
1.0,45.95901639
1.0,45.99186992
1.0,46.04032258
1.0,45.976
1.0,45.98412698
1.0,45.91338583
1.0,45.9453125
1.0,45.96899225
1.0,46.03846154
1.0,45.96946565
1.0,45.96969697
1.0,45.91729323
1.0,45.91791045
1.0,45.94074074
1.0,46.00735294
1.0,45.95620438
1.0,45.96376812
1.0,45.90647482
1.0,45.90714286
1.0,45.92907801
1.0,45.99295775
1.0,45.94405594
1.0,45.95138889
