[step],attendance
0.0,21.0
1.0,62.0
2.0,71.0
3.0,49.0
4.0,46.0
5.0,42.0
6.0,34.0
7.0,50.0
8.0,50.0
9.0,59.0
10.0,44.0
11.0,50.0
12.0,36.0
13.0,40.0
14.0,47.0
15.0,56.0
16.0,50.0
17.0,47.0
18.0,39.0
19.0,36.0
20.0,44.0
21.0,51.0
22.0,55.0
23.0,50.0
24.0,40.0
25.0,40.0
26.0,41.0
27.0,51.0
28.0,52.0
29.0,51.0
30.0,39.0
31.0,45.0
32.0,39.0
33.0,54.0
34.0,51.0
35.0,48.0
36.0,39.0
37.0,44.0
38.0,40.0
39.0,53.0
40.0,51.0
41.0,48.0
42.0,38.0
43.0,42.0
44.0,41.0
45.0,53.0
46.0,51.0
47.0,46.0
48.0,40.0
49.0,42.0
50.0,41.0
51.0,52.0
52.0,49.0
53.0,46.0
54.0,41.0
55.0,41.0
56.0,42.0
57.0,51.0
58.0,49.0
59.0,46.0
60.0,44.0
61.0,41.0
62.0,39.0
63.0,50.0
64.0,48.0
65.0,53.0
66.0,40.0
67.0,44.0
68.0,39.0
69.0,49.0
70.0,51.0
71.0,54.0
72.0,38.0
73.0,44.0
74.0,40.0
75.0,50.0
76.0,50.0
77.0,52.0
78.0,39.0
79.0,46.0
80.0,40.0
81.0,50.0
82.0,48.0
83.0,52.0
84.0,41.0
85.0,45.0
86.0,39.0
87.0,49.0
88.0,49.0
89.0,51.0
90.0,42.0
91.0,44.0
92.0,39.0
93.0,47.0
94.0,49.0
95.0,53.0
96.0,41.0
97.0,45.0
98.0,38.0
99.0,48.0
100.0,49.0
101.0,55.0
102.0,40.0
103.0,44.0
104.0,39.0
105.0,48.0
106.0,50.0
107.0,55.0
108.0,39.0
109.0,44.0
110.0,39.0
111.0,49.0
112.0,52.0
113.0,53.0
114.0,39.0
115.0,44.0
116.0,38.0
117.0,51.0
118.0,50.0
119.0,52.0
120.0,40.0
121.0,44.0
122.0,37.0
123.0,52.0
124.0,50.0
125.0,52.0
126.0,38.0
127.0,47.0
128.0,37.0
129.0,50.0
130.0,49.0
131.0,55.0
132.0,37.0
133.0,46.0
134.0,39.0
135.0,46.0
136.0,49.0
137.0,55.0
138.0,39.0
139.0,47.0
140.0,38.0
141.0,46.0
142.0,49.0
143.0,55.0
144.0,39.0
145.0,47.0
146.0,37.0
147.0,45.0
148.0,49.0
