attendance,[step]
21.0,0.0
62.0,1.0
71.0,2.0
49.0,3.0
46.0,4.0
42.0,5.0
34.0,6.0
50.0,7.0
50.0,8.0
59.0,9.0
44.0,10.0
50.0,11.0
36.0,12.0
40.0,13.0
47.0,14.0
56.0,15.0
50.0,16.0
47.0,17.0
39.0,18.0
36.0,19.0
44.0,20.0
51.0,21.0
55.0,22.0
50.0,23.0
40.0,24.0
40.0,25.0
41.0,26.0
51.0,27.0
52.0,28.0
51.0,29.0
39.0,30.0
45.0,31.0
39.0,32.0
54.0,33.0
51.0,34.0
48.0,35.0
39.0,36.0
44.0,37.0
40.0,38.0
53.0,39.0
51.0,40.0
48.0,41.0
38.0,42.0
42.0,43.0
41.0,44.0
53.0,45.0
51.0,46.0
46.0,47.0
40.0,48.0
42.0,49.0
41.0,50.0
52.0,51.0
49.0,52.0
46.0,53.0
41.0,54.0
41.0,55.0
42.0,56.0
51.0,57.0
49.0,58.0
46.0,59.0
44.0,60.0
41.0,61.0
39.0,62.0
50.0,63.0
48.0,64.0
53.0,65.0
40.0,66.0
44.0,67.0
39.0,68.0
49.0,69.0
51.0,70.0
54.0,71.0
38.0,72.0
44.0,73.0
40.0,74.0
50.0,75.0
50.0,76.0
52.0,77.0
39.0,78.0
46.0,79.0
40.0,80.0
50.0,81.0
48.0,82.0
52.0,83.0
41.0,84.0
45.0,85.0
39.0,86.0
49.0,87.0
49.0,88.0
51.0,89.0
42.0,90.0
44.0,91.0
39.0,92.0
47.0,93.0
49.0,94.0
53.0,95.0
41.0,96.0
45.0,97.0
38.0,98.0
48.0,99.0
49.0,100.0
55.0,101.0
40.0,102.0
44.0,103.0
39.0,104.0
48.0,105.0
50.0,106.0
55.0,107.0
39.0,108.0
44.0,109.0
39.0,110.0
49.0,111.0
52.0,112.0
53.0,113.0
39.0,114.0
44.0,115.0
38.0,116.0
51.0,117.0
50.0,118.0
52.0,119.0
40.0,120.0
44.0,121.0
37.0,122.0
52.0,123.0
50.0,124.0
52.0,125.0
38.0,126.0
47.0,127.0
37.0,128.0
50.0,129.0
49.0,130.0
55.0,131.0
37.0,132.0
46.0,133.0
39.0,134.0
46.0,135.0
49.0,136.0
55.0,137.0
39.0,138.0
47.0,139.0
38.0,140.0
46.0,141.0
49.0,142.0
55.0,143.0
39.0,144.0
47.0,145.0
37.0,146.0
45.0,147.0
49.0,148.0
55.0,149.0
40.0,150.0
47.0,151.0
37.0,152.0
45.0,153.0
49.0,154.0
54.0,155.0
42.0,156.0
47.0,157.0
38.0,158.0
42.0,159.0
47.0,160.0
54.0,161.0
47.0,162.0
46.0,163.0
39.0,164.0
40.0,165.0
47.0,166.0
52.0,167.0
51.0,168.0
44.0,169.0
42.0,170.0
37.0,171.0
47.0,172.0
52.0,173.0
54.0,174.0
42.0,175.0
44.0,176.0
37.0,177.0
47.0,178.0
53.0,179.0
53.0,180.0
40.0,181.0
46.0,182.0
37.0,183.0
51.0,184.0
49.0,185.0
56.0,186.0
36.0,187.0
48.0,188.0
38.0,189.0
47.0,190.0
50.0,191.0
52.0,192.0
42.0,193.0
46.0,194.0
41.0,195.0
42.0,196.0
49.0,197.0
51.0,198.0
45.0,199.0
46.0,200.0
40.0,201.0
40.0,202.0
48.0,203.0
50.0,204.0
50.0,205.0
44.0,206.0
42.0,207.0
37.0,208.0
