attendance,avg-attendance
21.0,0.0
62.0,0.0
71.0,71.0
49.0,60.0
46.0,55.33333333
42.0,52.0
34.0,48.4
50.0,48.66666667
50.0,48.85714286
59.0,50.125
44.0,49.44444444
50.0,49.5
36.0,48.27272727
40.0,47.58333333
47.0,47.53846154
56.0,48.14285714
50.0,48.26666667
47.0,48.1875
39.0,47.64705882
36.0,47.0
44.0,46.84210526
51.0,47.05
55.0,47.42857143
50.0,47.54545455
40.0,47.2173913
40.0,46.91666667
41.0,46.68
51.0,46.84615385
52.0,47.03703704
51.0,47.17857143
39.0,46.89655172
45.0,46.83333333
39.0,46.58064516
54.0,46.8125
51.0,46.93939394
48.0,46.97058824
39.0,46.74285714
44.0,46.66666667
40.0,46.48648649
53.0,46.65789474
51.0,46.76923077
48.0,46.8
38.0,46.58536585
42.0,46.47619048
41.0,46.34883721
53.0,46.5
51.0,46.6
46.0,46.58695652
40.0,46.44680851
42.0,46.35416667
41.0,46.24489796
52.0,46.36
49.0,46.41176471
46.0,46.40384615
41.0,46.30188679
41.0,46.2037037
42.0,46.12727273
51.0,46.21428571
49.0,46.26315789
46.0,46.25862069
44.0,46.22033898
41.0,46.13333333
39.0,46.01639344
50.0,46.08064516
48.0,46.11111111
53.0,46.21875
40.0,46.12307692
44.0,46.09090909
39.0,45.98507463
49.0,46.02941176
51.0,46.10144928
54.0,46.21428571
38.0,46.09859155
44.0,46.06944444
40.0,45.98630137
50.0,46.04054054
50.0,46.09333333
52.0,46.17105263
39.0,46.07792208
46.0,46.07692308
40.0,46.0
50.0,46.05
48.0,46.07407407
52.0,46.14634146
41.0,46.08433735
45.0,46.07142857
39.0,45.98823529
49.0,46.02325581
49.0,46.05747126
51.0,46.11363636
42.0,46.06741573
44.0,46.04444444
39.0,45.96703297
47.0,45.97826087
49.0,46.01075269
53.0,46.08510638
41.0,46.03157895
45.0,46.02083333
38.0,45.93814433
48.0,45.95918367
49.0,45.98989899
55.0,46.08
40.0,46.01980198
44.0,46.0
39.0,45.93203883
48.0,45.95192308
50.0,45.99047619
55.0,46.0754717
39.0,46.00934579
44.0,45.99074074
39.0,45.9266055
49.0,45.95454545
52.0,46.00900901
53.0,46.07142857
39.0,46.00884956
44.0,45.99122807
38.0,45.92173913
51.0,45.96551724
50.0,46.0
52.0,46.05084746
40.0,46.0
44.0,45.98333333
37.0,45.90909091
52.0,45.95901639
50.0,45.99186992
52.0,46.04032258
38.0,45.976
47.0,45.98412698
37.0,45.91338583
50.0,45.9453125
49.0,45.96899225
55.0,46.03846154
37.0,45.96946565
46.0,45.96969697
39.0,45.91729323
46.0,45.91791045
49.0,45.94074074
55.0,46.00735294
39.0,45.95620438
47.0,45.96376812
38.0,45.90647482
46.0,45.90714286
49.0,45.92907801
55.0,45.99295775
39.0,45.94405594
47.0,45.95138889
37.0,45.88965517
45.0,45.88356164
49.0,45.9047619
55.0,45.96621622
40.0,45.9261745
47.0,45.93333333
37.0,45.87417219
45.0,45.86842105
49.0,45.88888889
54.0,45.94155844
42.0,45.91612903
47.0,45.92307692
38.0,45.87261146
42.0,45.84810127
47.0,45.85534591
54.0,45.90625
47.0,45.91304348
46.0,45.91358025
39.0,45.87116564
40.0,45.83536585
47.0,45.84242424
52.0,45.87951807
51.0,45.91017964
44.0,45.89880952
42.0,45.87573964
37.0,45.82352941
47.0,45.83040936
52.0,45.86627907
54.0,45.9132948
42.0,45.8908046
44.0,45.88
37.0,45.82954545
47.0,45.83615819
53.0,45.87640449
53.0,45.91620112
40.0,45.88333333
46.0,45.8839779
37.0,45.83516484
51.0,45.86338798
49.0,45.88043478
56.0,45.93513514
36.0,45.88172043
48.0,45.89304813
38.0,45.85106383
47.0,45.85714286
50.0,45.87894737
52.0,45.91099476
42.0,45.890625
46.0,45.89119171
41.0,45.86597938
42.0,45.84615385
49.0,45.8622449
51.0,45.88832487
45.0,45.88383838
46.0,45.88442211
40.0,45.855
40.0,45.82587065
48.0,45.83663366
50.0,45.85714286
50.0,45.87745098
44.0,45.86829268
42.0,45.84951456
37.0,45.80676329
48.0,45.81730769
50.0,45.83732057
54.0,45.87619048
42.0,45.85781991
44.0,45.8490566
39.0,45.81690141
47.0,45.82242991
50.0,45.84186047
54.0,45.87962963
42.0,45.86175115
44.0,45.85321101
39.0,45.82191781
46.0,45.82272727
51.0,45.84615385
53.0,45.87837838
41.0,45.85650224
46.0,45.85714286
40.0,45.83111111
45.0,45.82743363
49.0,45.84140969
54.0,45.87719298
40.0,45.85152838
47.0,45.85652174
37.0,45.81818182
46.0,45.81896552
50.0,45.83690987
55.0,45.87606838
39.0,45.84680851
47.0,45.85169492
37.0,45.81434599
47.0,45.81932773
48.0,45.82845188
55.0,45.86666667
40.0,45.84232365
47.0,45.84710744
38.0,45.81481481
45.0,45.81147541
49.0,45.8244898
54.0,45.85772358
42.0,45.84210526
47.0,45.84677419
38.0,45.81526104
43.0,45.804
48.0,45.812749
53.0,45.84126984
46.0,45.84189723
46.0,45.84251969
39.0,45.81568627
40.0,45.79296875
47.0,45.79766537
52.0,45.82170543
51.0,45.84169884
44.0,45.83461538
42.0,45.81992337
37.0,45.78625954
47.0,45.79087452
52.0,45.81439394
54.0,45.84528302
42.0,45.83082707
44.0,45.82397004
37.0,45.79104478
47.0,45.79553903
53.0,45.82222222
53.0,45.84870849
40.0,45.82720588
46.0,45.82783883
37.0,45.79562044
51.0,45.81454545
49.0,45.82608696
56.0,45.86281588
36.0,45.82733813
48.0,45.83512545
38.0,45.80714286
47.0,45.8113879
50.0,45.82624113
52.0,45.84805654
42.0,45.83450704
46.0,45.83508772
41.0,45.81818182
42.0,45.80487805
49.0,45.81597222
51.0,45.83391003
45.0,45.83103448
46.0,45.83161512
40.0,45.81164384
40.0,45.79180887
48.0,45.79931973
50.0,45.81355932
50.0,45.8277027
44.0,45.82154882
42.0,45.80872483
37.0,45.77926421
48.0,45.78666667
50.0,45.80066445
54.0,45.82781457
42.0,45.81518152
44.0,45.80921053
39.0,45.78688525
47.0,45.79084967
50.0,45.80456026
54.0,45.83116883
42.0,45.81877023
44.0,45.81290323
39.0,45.79099678
46.0,45.79166667
51.0,45.80830671
53.0,45.83121019
41.0,45.81587302
46.0,45.8164557
40.0,45.79810726
45.0,45.79559748
49.0,45.80564263
54.0,45.83125
40.0,45.81308411
47.0,45.81677019
37.0,45.78947368
46.0,45.79012346
50.0,45.80307692
55.0,45.83128834
39.0,45.81039755
47.0,45.81402439
37.0,45.78723404
47.0,45.79090909
48.0,45.79758308
55.0,45.8253012
40.0,45.80780781
47.0,45.81137725
38.0,45.7880597
45.0,45.78571429
49.0,45.79525223
54.0,45.81952663
42.0,45.80825959
47.0,45.81176471
38.0,45.7888563
43.0,45.78070175
48.0,45.78717201
53.0,45.80813953
46.0,45.80869565
46.0,45.80924855
39.0,45.78962536
40.0,45.77298851
47.0,45.7765043
52.0,45.79428571
51.0,45.80911681
44.0,45.80397727
42.0,45.79320113
37.0,45.76836158
47.0,45.77183099
52.0,45.78932584
54.0,45.81232493
42.0,45.80167598
44.0,45.79665738
37.0,45.77222222
47.0,45.77562327
53.0,45.79558011
53.0,45.815427
40.0,45.79945055
46.0,45.8
37.0,45.77595628
51.0,45.79019074
49.0,45.79891304
56.0,45.82655827
36.0,45.8
48.0,45.80592992
38.0,45.78494624
47.0,45.78820375
50.0,45.79946524
52.0,45.816
42.0,45.80585106
46.0,45.80636605
41.0,45.79365079
42.0,45.78364116
49.0,45.79210526
51.0,45.80577428
45.0,45.80366492
46.0,45.80417755
40.0,45.7890625
40.0,45.77402597
48.0,45.77979275
50.0,45.79069767
50.0,45.80154639
44.0,45.79691517
42.0,45.78717949
37.0,45.76470588
48.0,45.77040816
50.0,45.78117048
54.0,45.80203046
42.0,45.79240506
44.0,45.78787879
39.0,45.77078086
47.0,45.77386935
50.0,45.78446115
54.0,45.805
42.0,45.79551122
44.0,45.79104478
39.0,45.77419355
46.0,45.77475248
51.0,45.78765432
53.0,45.80541872
41.0,45.79361179
46.0,45.79411765
40.0,45.7799511
45.0,45.77804878
49.0,45.78588808
54.0,45.80582524
40.0,45.79176755
47.0,45.79468599
37.0,45.77349398
46.0,45.77403846
50.0,45.78417266
55.0,45.8062201
39.0,45.78997613
47.0,45.79285714
37.0,45.7719715
47.0,45.77488152
48.0,45.78014184
55.0,45.80188679
40.0,45.78823529
47.0,45.79107981
38.0,45.77283372
45.0,45.77102804
49.0,45.77855478
54.0,45.79767442
42.0,45.78886311
47.0,45.79166667
38.0,45.77367206
43.0,45.76728111
48.0,45.77241379
53.0,45.78899083
46.0,45.78947368
46.0,45.78995434
39.0,45.77448747
40.0,45.76136364
47.0,45.76417234
52.0,45.77828054
51.0,45.79006772
44.0,45.78603604
42.0,45.77752809
37.0,45.75784753
47.0,45.7606264
52.0,45.77455357
54.0,45.79287305
42.0,45.78444444
44.0,45.7804878
37.0,45.76106195
47.0,45.76379691
53.0,45.77973568
53.0,45.7956044
40.0,45.78289474
46.0,45.7833698
37.0,45.76419214
51.0,45.77559913
49.0,45.7826087
56.0,45.80477223
36.0,45.78354978
48.0,45.78833693
38.0,45.77155172
47.0,45.77419355
50.0,45.7832618
52.0,45.79657388
42.0,45.78846154
46.0,45.78891258
41.0,45.7787234
42.0,45.77070064
49.0,45.77754237
51.0,45.78858351
45.0,45.78691983
46.0,45.78736842
40.0,45.77521008
40.0,45.76310273
48.0,45.76778243
50.0,45.77661795
50.0,45.78541667
44.0,45.78170478
42.0,45.77385892
37.0,45.75569358
48.0,45.76033058
50.0,45.76907216
54.0,45.78600823
42.0,45.77823409
44.0,45.77459016
39.0,45.7607362
47.0,45.76326531
50.0,45.77189409
54.0,45.78861789
42.0,45.78093306
44.0,45.77732794
39.0,45.76363636
46.0,45.7641129
51.0,45.77464789
53.0,45.78915663
41.0,45.77955912
74.0,0.0
60.0,0.0
74.0,74.0
47.0,60.5
43.0,54.66666667
34.0,49.5
46.0,48.8
57.0,50.16666667
63.0,52.0
52.0,52.0
49.0,51.66666667
44.0,50.9
42.0,50.09090909
56.0,50.58333333
53.0,50.76923077
60.0,51.42857143
50.0,51.33333333
54.0,51.5
40.0,50.82352941
54.0,51.0
52.0,51.05263158
58.0,51.4
53.0,51.47619048
55.0,51.63636364
40.0,51.13043478
54.0,51.25
48.0,51.12
58.0,51.38461538
54.0,51.48148148
55.0,51.60714286
44.0,51.34482759
53.0,51.4
47.0,51.25806452
58.0,51.46875
53.0,51.51515152
58.0,51.70588235
41.0,51.4
57.0,51.55555556
44.0,51.35135135
58.0,51.52631579
53.0,51.56410256
57.0,51.7
44.0,51.51219512
57.0,51.64285714
40.0,51.37209302
55.0,51.45454545
54.0,51.51111111
56.0,51.60869565
49.0,51.55319149
55.0,51.625
42.0,51.42857143
56.0,51.52
49.0,51.47058824
59.0,51.61538462
52.0,51.62264151
57.0,51.72222222
40.0,51.50909091
57.0,51.60714286
49.0,51.56140351
58.0,51.67241379
54.0,51.71186441
56.0,51.78333333
42.0,51.62295082
53.0,51.64516129
48.0,51.58730159
56.0,51.65625
54.0,51.69230769
58.0,51.78787879
43.0,51.65671642
54.0,51.69117647
46.0,51.60869565
57.0,51.68571429
52.0,51.69014085
59.0,51.79166667
44.0,51.68493151
55.0,51.72972973
45.0,51.64
59.0,51.73684211
51.0,51.72727273
58.0,51.80769231
45.0,51.72151899
56.0,51.775
44.0,51.67901235
60.0,51.7804878
49.0,51.74698795
56.0,51.79761905
47.0,51.74117647
56.0,51.79069767
44.0,51.70114943
61.0,51.80681818
48.0,51.76404494
54.0,51.78888889
47.0,51.73626374
57.0,51.79347826
46.0,51.7311828
56.0,51.77659574
48.0,51.73684211
57.0,51.79166667
47.0,51.74226804
55.0,51.7755102
47.0,51.72727273
58.0,51.79
48.0,51.75247525
