attendance,std
21.0,0.0
62.0,0.0
71.0,0.0
49.0,7.778174593
46.0,6.599663291
42.0,7.071067812
34.0,10.18233765
50.0,0.942809042
50.0,0.808122036
59.0,6.275572683
44.0,3.849803586
50.0,0.353553391
36.0,8.678128678
40.0,5.362226424
47.0,0.380749805
56.0,5.555838995
50.0,1.225651754
47.0,0.839689303
39.0,6.114393931
36.0,7.778174593
44.0,2.009671904
51.0,2.793071786
55.0,5.353808486
50.0,1.735625736
40.0,5.103466334
40.0,4.890821903
41.0,4.016366517
51.0,2.937212783
52.0,3.509344766
51.0,2.702158057
39.0,5.583705272
45.0,1.296362432
39.0,5.360325599
54.0,5.08232999
51.0,2.871282081
48.0,0.727904039
39.0,5.475026791
44.0,1.885618083
40.0,4.586638581
53.0,4.484545639
51.0,2.991605613
48.0,0.848528137
38.0,6.070770414
42.0,3.16514464
41.0,3.782199062
53.0,4.596194078
51.0,3.111269837
46.0,0.415040937
40.0,4.558582015
42.0,3.078860776
41.0,3.708702914
52.0,3.988082246
49.0,1.830158728
46.0,0.285562354
41.0,3.749000104
41.0,3.679574176
42.0,2.918422533
51.0,3.384011024
49.0,1.935239612
46.0,0.182872443
44.0,1.570016751
41.0,3.62981481
39.0,4.961339383
50.0,2.771402384
48.0,1.335646142
53.0,4.79506786
40.0,4.329669214
44.0,1.478495997
39.0,4.939193636
49.0,2.100523085
51.0,3.463798435
54.0,5.505331368
38.0,5.726569003
44.0,1.4633182
40.0,4.232954293
50.0,2.799760634
50.0,2.762430492
52.0,4.121688211
39.0,5.004846698
46.0,0.054392829
40.0,4.242640687
50.0,2.793071786
48.0,1.361835282
52.0,4.139161646
41.0,3.595169418
45.0,0.757614408
39.0,4.941428565
49.0,2.104876
49.0,2.080682023
51.0,3.455180863
42.0,2.876097245
44.0,1.44564053
39.0,4.926436256
47.0,0.722478668
49.0,2.113717045
53.0,4.889568168
41.0,3.557863594
45.0,0.721838172
38.0,5.613115686
48.0,1.443075064
49.0,2.128462836
55.0,6.307392488
40.0,4.256642802
44.0,1.414213562
39.0,4.901691668
48.0,1.448209081
50.0,2.835161475
55.0,6.310594481
39.0,4.956355943
44.0,1.407666277
39.0,4.897849723
49.0,2.153461561
52.0,4.236270356
53.0,4.899239841
39.0,4.95600505
44.0,1.408010871
38.0,5.601515458
51.0,3.559916898
50.0,2.828427125
52.0,4.206686105
40.0,4.242640687
44.0,1.402428449
37.0,6.299678596
52.0,4.271620473
50.0,2.83417596
52.0,4.214128317
38.0,5.639883687
47.0,0.718330698
37.0,6.302715561
50.0,2.867097027
49.0,2.143246135
55.0,6.336764616
37.0,6.342369984
46.0,0.021427478
39.0,4.891264953
46.0,0.058046079
49.0,2.163222968
55.0,6.358761716
39.0,4.918779288
47.0,0.732726592
38.0,5.590721961
46.0,0.065659915
49.0,2.171469761
55.0,6.368940656
39.0,4.910189047
47.0,0.741480027
37.0,6.285935455
45.0,0.62477243
49.0,2.188663847
55.0,6.387849773
40.0,4.190438173
47.0,0.754247233
37.0,6.27498733
45.0,0.614066415
49.0,2.199887764
54.0,5.698178672
42.0,2.769121395
47.0,0.761499611
38.0,5.566776953
42.0,2.7210185
47.0,0.809392668
54.0,5.72314551
47.0,0.768594327
46.0,0.061107993
39.0,4.858647822
40.0,4.126226766
47.0,0.818529668
52.0,4.327834275
51.0,3.599046491
44.0,1.34266109
42.0,2.740561785
37.0,6.239177481
47.0,0.827025475
52.0,4.337195664
54.0,5.718164086
42.0,2.751214315
44.0,1.329360749
37.0,6.243431466
47.0,0.822960435
53.0,5.037142688
53.0,5.009002227
40.0,4.160144896
46.0,0.082040013
37.0,6.247404968
51.0,3.632133193
49.0,2.20586572
56.0,7.116934198
36.0,6.987431526
48.0,1.489839956
38.0,5.551540474
47.0,0.808122036
50.0,2.914024261
52.0,4.305576893
42.0,2.751087321
46.0,0.07693908
41.0,3.440767018
42.0,2.719641466
49.0,2.21872791
51.0,3.614500145
45.0,0.624968115
46.0,0.081725909
40.0,4.140110204
40.0,4.119512641
48.0,1.529731007
50.0,2.929442379
50.0,2.915082368
44.0,1.321082425
42.0,2.722017852
37.0,6.227322039
48.0,1.543396532
50.0,2.94345885
54.0,5.744400803
42.0,2.727890616
44.0,1.307480463
39.0,4.820277213
47.0,0.832667798
50.0,2.940248662
54.0,5.741968955
42.0,2.730670427
44.0,1.310418072
39.0,4.823824343
46.0,0.125350748
51.0,3.644319565
53.0,5.035746942
41.0,3.434065668
46.0,0.101015254
40.0,4.123218209
45.0,0.58508393
49.0,2.233460626
54.0,5.743691924
40.0,4.137655401
47.0,0.808561232
37.0,6.235396161
46.0,0.12801071
50.0,2.943749261
55.0,6.451593922
39.0,4.841424727
47.0,0.811974312
37.0,6.232683822
47.0,0.834861368
48.0,1.535516399
55.0,6.458241935
40.0,4.131146672
47.0,0.815218149
38.0,5.525908549
45.0,0.573799765
49.0,2.245424799
54.0,5.757458873
42.0,2.716778686
47.0,0.815453788
38.0,5.526224081
43.0,1.982727414
48.0,1.546620011
53.0,5.06198664
46.0,0.111795539
46.0,0.111355399
39.0,4.819417983
40.0,4.096247486
47.0,0.85017897
52.0,4.368713989
51.0,3.647469728
44.0,1.297268979
42.0,2.70109372
37.0,6.212823703
47.0,0.854980823
52.0,4.373883991
54.0,5.766255676
42.0,2.708803797
44.0,1.289741582
37.0,6.216207375
47.0,0.851682517
53.0,5.075455341
53.0,5.056726723
40.0,4.120456795
46.0,0.121736332
37.0,6.219442856
51.0,3.666670073
49.0,2.244295436
56.0,7.16807163
36.0,6.948977432
48.0,1.530797476
38.0,5.520483656
47.0,0.840475676
50.0,2.951293197
52.0,4.35008094
42.0,2.711405932
46.0,0.116610592
41.0,3.406969037
42.0,2.69045507
49.0,2.251447633
51.0,3.652977247
45.0,0.587630118
46.0,0.11906609
40.0,4.109452766
40.0,4.09542733
48.0,1.556115944
50.0,2.960260592
50.0,2.950259712
44.0,1.288029524
42.0,2.693175157
37.0,6.20787726
48.0,1.565063009
50.0,2.969378643
54.0,5.778607735
42.0,2.697740723
44.0,1.279305032
39.0,4.799052581
47.0,0.854998396
50.0,2.96662389
54.0,5.776235914
42.0,2.700278323
44.0,1.281916165
39.0,4.801959877
46.0,0.147313913
51.0,3.671081532
53.0,5.069099887
41.0,3.405336467
46.0,0.129785422
40.0,4.099880958
45.0,0.562572376
49.0,2.258751756
54.0,5.776178519
40.0,4.110471195
47.0,0.836669825
37.0,6.215096445
46.0,0.148405127
50.0,2.967672768
55.0,6.483258187
39.0,4.815678293
47.0,0.838611396
37.0,6.213512779
47.0,0.854956381
48.0,1.557343938
55.0,6.487491733
40.0,4.106740285
47.0,0.84048321
38.0,5.506989827
45.0,0.5555839
49.0,2.266098883
54.0,5.784468195
42.0,2.692846179
47.0,0.840209234
38.0,5.507553111
43.0,1.966253067
48.0,1.564705676
53.0,5.085413304
46.0,0.135272602
46.0,0.13488164
39.0,4.800990134
40.0,4.08211932
47.0,0.865142108
52.0,4.388102654
51.0,3.670508705
44.0,1.275604563
42.0,2.682198244
37.0,6.200167934
47.0,0.868446638
52.0,4.391609812
54.0,5.789560564
42.0,2.688190864
44.0,1.270428618
37.0,6.202897819
47.0,0.865765089
53.0,5.094294158
53.0,5.08026029
40.0,4.100830811
46.0,0.141421356
37.0,6.2055382
51.0,3.683891459
49.0,2.263510294
56.0,7.193709638
36.0,6.929646456
48.0,1.551441833
38.0,5.504788275
47.0,0.856869343
50.0,2.970226613
52.0,4.372748335
42.0,2.691143095
46.0,0.136919881
41.0,3.389622983
42.0,2.675438322
49.0,2.268324122
51.0,3.672872231
45.0,0.568276916
46.0,0.138467385
40.0,4.09348535
40.0,4.082852921
48.0,1.569923605
50.0,2.976426218
50.0,2.968755017
44.0,1.2706109
42.0,2.677940297
37.0,6.197582965
48.0,1.576559507
50.0,2.98316296
54.0,5.796839856
42.0,2.681635337
44.0,1.264221215
39.0,4.787665058
47.0,0.8670053
50.0,2.980836105
54.0,5.794740072
42.0,2.683831723
44.0,1.266459907
39.0,4.790078195
46.0,0.159274052
51.0,3.685684976
53.0,5.087337211
41.0,3.389595406
46.0,0.145580808
40.0,4.087042618
45.0,0.550163569
49.0,2.272720336
54.0,5.794156537
40.0,4.095398113
47.0,0.85228571
37.0,6.203797085
46.0,0.159778936
50.0,2.981040099
55.0,6.500984115
39.0,4.801238168
47.0,0.8535789
37.0,6.20272053
47.0,0.866289587
48.0,1.569676755
55.0,6.504048223
40.0,4.092900428
47.0,0.854835663
38.0,5.496223435
45.0,0.545199154
49.0,2.277905761
54.0,5.79992004
42.0,2.679130797
47.0,0.854420694
38.0,5.496816225
43.0,1.956763235
48.0,1.575141313
53.0,5.098953486
46.0,0.148864586
46.0,0.148524712
39.0,4.79028603
40.0,4.073899296
47.0,0.873862122
52.0,4.399420019
51.0,3.683978445
44.0,1.262918193
42.0,2.671115728
37.0,6.19273338
47.0,0.876369478
52.0,4.402055386
54.0,5.80331512
42.0,2.67600633
44.0,1.258995001
37.0,6.195006313
47.0,0.874127588
53.0,5.105497861
53.0,5.094276986
40.0,4.089124083
46.0,0.153180681
37.0,6.197219694
51.0,3.694209284
49.0,2.275039209
56.0,7.209114689
36.0,6.918014396
48.0,1.563881952
38.0,5.495316924
47.0,0.866776054
50.0,2.981684174
52.0,4.386484679
42.0,2.678846844
46.0,0.149261346
41.0,3.379067725
42.0,2.66628799
49.0,2.27862164
51.0,3.68502794
45.0,0.556436349
46.0,0.150353231
40.0,4.083690213
40.0,4.075129018
48.0,1.578416183
50.0,2.986382084
50.0,2.980160455
44.0,1.259855533
42.0,2.668521234
37.0,6.191210306
48.0,1.583685436
50.0,2.991717763
54.0,5.808169281
42.0,2.671614943
44.0,1.254824739
39.0,4.78056241
47.0,0.874503489
50.0,2.989722358
54.0,5.806323976
42.0,2.673523408
44.0,1.256760635
39.0,4.782613138
46.0,0.166797366
51.0,3.694881913
53.0,5.098836247
41.0,3.379658664
74.0,0.0
60.0,0.0
74.0,0.0
47.0,9.545941546
43.0,8.249579114
34.0,10.96015511
46.0,1.979898987
57.0,4.831896338
63.0,7.778174593
52.0,0.0
49.0,1.885618083
44.0,4.87903679
42.0,5.721136684
56.0,3.830161731
53.0,1.57739205
60.0,6.060915267
50.0,0.942809042
54.0,1.767766953
40.0,7.653391043
54.0,2.121320344
52.0,0.669890635
58.0,4.666904756
53.0,1.077496048
55.0,2.378450082
40.0,7.870405912
54.0,1.944543648
48.0,2.206173157
58.0,4.677783322
54.0,1.780861523
55.0,2.399112293
44.0,5.193577393
53.0,1.13137085
47.0,3.010906294
58.0,4.618291165
53.0,1.049946433
58.0,4.45061327
41.0,7.353910524
57.0,3.849803586
44.0,5.198190391
58.0,4.577586005
53.0,1.015332814
57.0,3.74766594
44.0,5.311924112
57.0,3.788072042
40.0,8.041284093
55.0,2.507014951
54.0,1.759910211
56.0,3.105121083
49.0,1.805379016
55.0,2.386485387
42.0,6.667006794
56.0,3.16783838
49.0,1.746969695
59.0,5.221711615
52.0,0.266832748
57.0,3.731952456
40.0,8.138156227
57.0,3.813325856
49.0,1.81118579
58.0,4.474279115
54.0,1.617956194
56.0,2.981633594
42.0,6.80445378
53.0,0.958015639
48.0,2.536605279
56.0,3.071495081
54.0,1.63178488
58.0,4.392633035
43.0,6.121222882
54.0,1.632584774
46.0,3.965946729
57.0,3.757767466
52.0,0.21910351
59.0,5.097061381
44.0,5.434067181
55.0,2.312430284
45.0,4.695189027
59.0,5.1358282
51.0,0.514259477
58.0,4.37862276
45.0,4.752831656
56.0,2.987526151
44.0,5.429881702
60.0,5.812072811
49.0,1.942413809
56.0,2.971532069
47.0,3.352518033
56.0,2.976426218
44.0,5.445534982
61.0,6.500561204
48.0,2.661581704
54.0,1.563491661
47.0,3.349044205
57.0,3.681566828
