avg-attendance,attendance
0.0,21.0
0.0,62.0
71.0,71.0
60.0,49.0
55.33333333,46.0
52.0,42.0
48.4,34.0
48.66666667,50.0
48.85714286,50.0
50.125,59.0
49.44444444,44.0
49.5,50.0
48.27272727,36.0
47.58333333,40.0
47.53846154,47.0
48.14285714,56.0
48.26666667,50.0
48.1875,47.0
47.64705882,39.0
47.0,36.0
46.84210526,44.0
47.05,51.0
47.42857143,55.0
47.54545455,50.0
47.2173913,40.0
46.91666667,40.0
46.68,41.0
46.84615385,51.0
47.03703704,52.0
47.17857143,51.0
46.89655172,39.0
46.83333333,45.0
46.58064516,39.0
46.8125,54.0
46.93939394,51.0
46.97058824,48.0
46.74285714,39.0
46.66666667,44.0
46.48648649,40.0
46.65789474,53.0
46.76923077,51.0
46.8,48.0
46.58536585,38.0
46.47619048,42.0
46.34883721,41.0
46.5,53.0
46.6,51.0
46.58695652,46.0
46.44680851,40.0
46.35416667,42.0
46.24489796,41.0
46.36,52.0
46.41176471,49.0
46.40384615,46.0
46.30188679,41.0
46.2037037,41.0
46.12727273,42.0
46.21428571,51.0
46.26315789,49.0
46.25862069,46.0
46.22033898,44.0
46.13333333,41.0
46.01639344,39.0
46.08064516,50.0
46.11111111,48.0
46.21875,53.0
46.12307692,40.0
46.09090909,44.0
45.98507463,39.0
46.02941176,49.0
46.10144928,51.0
46.21428571,54.0
46.09859155,38.0
46.06944444,44.0
45.98630137,40.0
46.04054054,50.0
46.09333333,50.0
46.17105263,52.0
46.07792208,39.0
46.07692308,46.0
46.0,40.0
46.05,50.0
46.07407407,48.0
46.14634146,52.0
46.08433735,41.0
46.07142857,45.0
45.98823529,39.0
46.02325581,49.0
46.05747126,49.0
46.11363636,51.0
46.06741573,42.0
46.04444444,44.0
45.96703297,39.0
45.97826087,47.0
46.01075269,49.0
46.08510638,53.0
46.03157895,41.0
46.02083333,45.0
45.93814433,38.0
45.95918367,48.0
45.98989899,49.0
46.08,55.0
46.01980198,40.0
46.0,44.0
45.93203883,39.0
45.95192308,48.0
45.99047619,50.0
46.0754717,55.0
46.00934579,39.0
45.99074074,44.0
45.9266055,39.0
45.95454545,49.0
46.00900901,52.0
46.07142857,53.0
46.00884956,39.0
45.99122807,44.0
45.92173913,38.0
45.96551724,51.0
46.0,50.0
46.05084746,52.0
46.0,40.0
45.98333333,44.0
45.90909091,37.0
45.95901639,52.0
45.99186992,50.0
46.04032258,52.0
45.976,38.0
45.98412698,47.0
45.91338583,37.0
45.9453125,50.0
45.96899225,49.0
46.03846154,55.0
45.96946565,37.0
45.96969697,46.0
45.91729323,39.0
45.91791045,46.0
45.94074074,49.0
46.00735294,55.0
45.95620438,39.0
45.96376812,47.0
45.90647482,38.0
45.90714286,46.0
45.92907801,49.0
45.99295775,55.0
45.94405594,39.0
45.95138889,47.0
45.88965517,37.0
45.88356164,45.0
45.9047619,49.0
45.96621622,55.0
45.9261745,40.0
45.93333333,47.0
45.87417219,37.0
45.86842105,45.0
45.88888889,49.0
45.94155844,54.0
45.91612903,42.0
45.92307692,47.0
45.87261146,38.0
45.84810127,42.0
45.85534591,47.0
45.90625,54.0
45.91304348,47.0
45.91358025,46.0
45.87116564,39.0
45.83536585,40.0
45.84242424,47.0
45.87951807,52.0
45.91017964,51.0
45.89880952,44.0
45.87573964,42.0
45.82352941,37.0
45.83040936,47.0
45.86627907,52.0
45.9132948,54.0
45.8908046,42.0
45.88,44.0
45.82954545,37.0
45.83615819,47.0
45.87640449,53.0
45.91620112,53.0
45.88333333,40.0
45.8839779,46.0
45.83516484,37.0
45.86338798,51.0
45.88043478,49.0
45.93513514,56.0
45.88172043,36.0
45.89304813,48.0
45.85106383,38.0
45.85714286,47.0
45.87894737,50.0
45.91099476,52.0
45.890625,42.0
45.89119171,46.0
45.86597938,41.0
45.84615385,42.0
45.8622449,49.0
45.88832487,51.0
45.88383838,45.0
45.88442211,46.0
45.855,40.0
45.82587065,40.0
45.83663366,48.0
45.85714286,50.0
45.87745098,50.0
45.86829268,44.0
45.84951456,42.0
45.80676329,37.0
45.81730769,48.0
45.83732057,50.0
45.87619048,54.0
45.85781991,42.0
45.8490566,44.0
45.81690141,39.0
45.82242991,47.0
45.84186047,50.0
45.87962963,54.0
45.86175115,42.0
45.85321101,44.0
45.82191781,39.0
45.82272727,46.0
45.84615385,51.0
45.87837838,53.0
45.85650224,41.0
45.85714286,46.0
45.83111111,40.0
45.82743363,45.0
45.84140969,49.0
45.87719298,54.0
45.85152838,40.0
45.85652174,47.0
45.81818182,37.0
45.81896552,46.0
45.83690987,50.0
45.87606838,55.0
45.84680851,39.0
45.85169492,47.0
45.81434599,37.0
45.81932773,47.0
45.82845188,48.0
45.86666667,55.0
45.84232365,40.0
45.84710744,47.0
45.81481481,38.0
45.81147541,45.0
45.8244898,49.0
45.85772358,54.0
45.84210526,42.0
45.84677419,47.0
45.81526104,38.0
45.804,43.0
45.812749,48.0
45.84126984,53.0
45.84189723,46.0
45.84251969,46.0
45.81568627,39.0
45.79296875,40.0
45.79766537,47.0
45.82170543,52.0
45.84169884,51.0
45.83461538,44.0
45.81992337,42.0
45.78625954,37.0
45.79087452,47.0
45.81439394,52.0
45.84528302,54.0
45.83082707,42.0
45.82397004,44.0
45.79104478,37.0
45.79553903,47.0
45.82222222,53.0
45.84870849,53.0
45.82720588,40.0
45.82783883,46.0
45.79562044,37.0
45.81454545,51.0
45.82608696,49.0
45.86281588,56.0
45.82733813,36.0
45.83512545,48.0
45.80714286,38.0
45.8113879,47.0
45.82624113,50.0
45.84805654,52.0
45.83450704,42.0
45.83508772,46.0
45.81818182,41.0
45.80487805,42.0
45.81597222,49.0
45.83391003,51.0
45.83103448,45.0
45.83161512,46.0
45.81164384,40.0
45.79180887,40.0
45.79931973,48.0
45.81355932,50.0
45.8277027,50.0
45.82154882,44.0
45.80872483,42.0
45.77926421,37.0
45.78666667,48.0
45.80066445,50.0
45.82781457,54.0
45.81518152,42.0
45.80921053,44.0
45.78688525,39.0
45.79084967,47.0
45.80456026,50.0
45.83116883,54.0
45.81877023,42.0
45.81290323,44.0
45.79099678,39.0
45.79166667,46.0
45.80830671,51.0
45.83121019,53.0
45.81587302,41.0
45.8164557,46.0
45.79810726,40.0
45.79559748,45.0
45.80564263,49.0
45.83125,54.0
45.81308411,40.0
45.81677019,47.0
45.78947368,37.0
45.79012346,46.0
45.80307692,50.0
45.83128834,55.0
45.81039755,39.0
45.81402439,47.0
45.78723404,37.0
45.79090909,47.0
45.79758308,48.0
45.8253012,55.0
45.80780781,40.0
45.81137725,47.0
45.7880597,38.0
45.78571429,45.0
45.79525223,49.0
45.81952663,54.0
45.80825959,42.0
45.81176471,47.0
