avg-attendance,overcrowding-threshold
0.0,40.0
0.0,40.0
71.0,40.0
60.0,40.0
55.33333333,40.0
52.0,40.0
48.4,40.0
48.66666667,40.0
48.85714286,40.0
50.125,40.0
49.44444444,40.0
49.5,40.0
48.27272727,40.0
47.58333333,40.0
47.53846154,40.0
48.14285714,40.0
48.26666667,40.0
48.1875,40.0
47.64705882,40.0
47.0,40.0
46.84210526,40.0
47.05,40.0
47.42857143,40.0
47.54545455,40.0
47.2173913,40.0
46.91666667,40.0
46.68,40.0
46.84615385,40.0
47.03703704,40.0
47.17857143,40.0
46.89655172,40.0
46.83333333,40.0
46.58064516,40.0
46.8125,40.0
46.93939394,40.0
46.97058824,40.0
46.74285714,40.0
46.66666667,40.0
46.48648649,40.0
46.65789474,40.0
46.76923077,40.0
46.8,40.0
46.58536585,40.0
46.47619048,40.0
46.34883721,40.0
46.5,40.0
46.6,40.0
46.58695652,40.0
46.44680851,40.0
46.35416667,40.0
46.24489796,40.0
46.36,40.0
46.41176471,40.0
46.40384615,40.0
46.30188679,40.0
46.2037037,40.0
46.12727273,40.0
46.21428571,40.0
46.26315789,40.0
46.25862069,40.0
46.22033898,40.0
46.13333333,40.0
46.01639344,40.0
46.08064516,40.0
46.11111111,40.0
46.21875,40.0
46.12307692,40.0
46.09090909,40.0
45.98507463,40.0
46.02941176,40.0
46.10144928,40.0
46.21428571,40.0
46.09859155,40.0
46.06944444,40.0
45.98630137,40.0
46.04054054,40.0
46.09333333,40.0
46.17105263,40.0
46.07792208,40.0
46.07692308,40.0
46.0,40.0
46.05,40.0
46.07407407,40.0
46.14634146,40.0
46.08433735,40.0
46.07142857,40.0
45.98823529,40.0
46.02325581,40.0
46.05747126,40.0
46.11363636,40.0
46.06741573,40.0
46.04444444,40.0
45.96703297,40.0
45.97826087,40.0
46.01075269,40.0
46.08510638,40.0
46.03157895,40.0
46.02083333,40.0
45.93814433,40.0
45.95918367,40.0
45.98989899,40.0
46.08,40.0
46.01980198,40.0
46.0,40.0
45.93203883,40.0
45.95192308,40.0
45.99047619,40.0
46.0754717,40.0
46.00934579,40.0
45.99074074,40.0
45.9266055,40.0
45.95454545,40.0
46.00900901,40.0
46.07142857,40.0
46.00884956,40.0
45.99122807,40.0
45.92173913,40.0
45.96551724,40.0
46.0,40.0
46.05084746,40.0
46.0,40.0
45.98333333,40.0
45.90909091,40.0
45.95901639,40.0
45.99186992,40.0
46.04032258,40.0
45.976,40.0
45.98412698,40.0
45.91338583,40.0
45.9453125,40.0
45.96899225,40.0
46.03846154,40.0
45.96946565,40.0
45.96969697,40.0
45.91729323,40.0
45.91791045,40.0
45.94074074,40.0
46.00735294,40.0
45.95620438,40.0
45.96376812,40.0
45.90647482,40.0
45.90714286,40.0
45.92907801,40.0
45.99295775,40.0
45.94405594,40.0
45.95138889,40.0
45.88965517,40.0
45.88356164,40.0
45.9047619,40.0
45.96621622,40.0
45.9261745,40.0
45.93333333,40.0
45.87417219,40.0
45.86842105,40.0
45.88888889,40.0
45.94155844,40.0
45.91612903,40.0
45.92307692,40.0
45.87261146,40.0
45.84810127,40.0
45.85534591,40.0
45.90625,40.0
45.91304348,40.0
45.91358025,40.0
45.87116564,40.0
45.83536585,40.0
45.84242424,40.0
45.87951807,40.0
45.91017964,40.0
45.89880952,40.0
45.87573964,40.0
45.82352941,40.0
45.83040936,40.0
45.86627907,40.0
