number-strategies,overcrowding-threshold
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
5.0,40.0
