overcrowding-threshold,[run number]
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
