std,attendance
0.0,21.0
0.0,62.0
0.0,71.0
7.778174593,49.0
6.599663291,46.0
7.071067812,42.0
10.18233765,34.0
0.942809042,50.0
0.808122036,50.0
6.275572683,59.0
3.849803586,44.0
0.353553391,50.0
8.678128678,36.0
5.362226424,40.0
0.380749805,47.0
5.555838995,56.0
1.225651754,50.0
0.839689303,47.0
6.114393931,39.0
7.778174593,36.0
2.009671904,44.0
2.793071786,51.0
5.353808486,55.0
1.735625736,50.0
5.103466334,40.0
4.890821903,40.0
4.016366517,41.0
2.937212783,51.0
3.509344766,52.0
2.702158057,51.0
5.583705272,39.0
1.296362432,45.0
5.360325599,39.0
5.08232999,54.0
2.871282081,51.0
0.727904039,48.0
5.475026791,39.0
1.885618083,44.0
4.586638581,40.0
4.484545639,53.0
2.991605613,51.0
0.848528137,48.0
6.070770414,38.0
3.16514464,42.0
3.782199062,41.0
4.596194078,53.0
3.111269837,51.0
0.415040937,46.0
4.558582015,40.0
3.078860776,42.0
3.708702914,41.0
3.988082246,52.0
1.830158728,49.0
0.285562354,46.0
3.749000104,41.0
3.679574176,41.0
2.918422533,42.0
3.384011024,51.0
1.935239612,49.0
0.182872443,46.0
1.570016751,44.0
3.62981481,41.0
4.961339383,39.0
2.771402384,50.0
1.335646142,48.0
4.79506786,53.0
4.329669214,40.0
1.478495997,44.0
4.939193636,39.0
2.100523085,49.0
3.463798435,51.0
5.505331368,54.0
5.726569003,38.0
1.4633182,44.0
4.232954293,40.0
2.799760634,50.0
2.762430492,50.0
4.121688211,52.0
5.004846698,39.0
0.054392829,46.0
4.242640687,40.0
2.793071786,50.0
1.361835282,48.0
4.139161646,52.0
3.595169418,41.0
0.757614408,45.0
4.941428565,39.0
2.104876,49.0
2.080682023,49.0
3.455180863,51.0
2.876097245,42.0
1.44564053,44.0
4.926436256,39.0
0.722478668,47.0
2.113717045,49.0
4.889568168,53.0
3.557863594,41.0
0.721838172,45.0
5.613115686,38.0
1.443075064,48.0
2.128462836,49.0
6.307392488,55.0
4.256642802,40.0
1.414213562,44.0
4.901691668,39.0
1.448209081,48.0
2.835161475,50.0
6.310594481,55.0
4.956355943,39.0
1.407666277,44.0
4.897849723,39.0
2.153461561,49.0
4.236270356,52.0
4.899239841,53.0
4.95600505,39.0
1.408010871,44.0
5.601515458,38.0
3.559916898,51.0
2.828427125,50.0
4.206686105,52.0
4.242640687,40.0
1.402428449,44.0
6.299678596,37.0
4.271620473,52.0
2.83417596,50.0
4.214128317,52.0
5.639883687,38.0
0.718330698,47.0
6.302715561,37.0
2.867097027,50.0
2.143246135,49.0
6.336764616,55.0
6.342369984,37.0
0.021427478,46.0
4.891264953,39.0
0.058046079,46.0
2.163222968,49.0
6.358761716,55.0
4.918779288,39.0
0.732726592,47.0
5.590721961,38.0
0.065659915,46.0
2.171469761,49.0
6.368940656,55.0
4.910189047,39.0
0.741480027,47.0
6.285935455,37.0
0.62477243,45.0
2.188663847,49.0
6.387849773,55.0
4.190438173,40.0
0.754247233,47.0
6.27498733,37.0
0.614066415,45.0
2.199887764,49.0
5.698178672,54.0
2.769121395,42.0
0.761499611,47.0
5.566776953,38.0
2.7210185,42.0
0.809392668,47.0
5.72314551,54.0
0.768594327,47.0
0.061107993,46.0
4.858647822,39.0
4.126226766,40.0
0.818529668,47.0
4.327834275,52.0
3.599046491,51.0
1.34266109,44.0
2.740561785,42.0
6.239177481,37.0
0.827025475,47.0
4.337195664,52.0
5.718164086,54.0
2.751214315,42.0
1.329360749,44.0
6.243431466,37.0
0.822960435,47.0
5.037142688,53.0
5.009002227,53.0
4.160144896,40.0
0.082040013,46.0
6.247404968,37.0
3.632133193,51.0
2.20586572,49.0
7.116934198,56.0
6.987431526,36.0
1.489839956,48.0
5.551540474,38.0
0.808122036,47.0
2.914024261,50.0
4.305576893,52.0
2.751087321,42.0
0.07693908,46.0
3.440767018,41.0
2.719641466,42.0
2.21872791,49.0
3.614500145,51.0
0.624968115,45.0
0.081725909,46.0
4.140110204,40.0
4.119512641,40.0
1.529731007,48.0
2.929442379,50.0
2.915082368,50.0
1.321082425,44.0
2.722017852,42.0
6.227322039,37.0
1.543396532,48.0
2.94345885,50.0
5.744400803,54.0
2.727890616,42.0
1.307480463,44.0
4.820277213,39.0
0.832667798,47.0
2.940248662,50.0
5.741968955,54.0
2.730670427,42.0
1.310418072,44.0
4.823824343,39.0
0.125350748,46.0
3.644319565,51.0
5.035746942,53.0
3.434065668,41.0
0.101015254,46.0
4.123218209,40.0
0.58508393,45.0
2.233460626,49.0
5.743691924,54.0
4.137655401,40.0
0.808561232,47.0
6.235396161,37.0
0.12801071,46.0
2.943749261,50.0
6.451593922,55.0
4.841424727,39.0
0.811974312,47.0
6.232683822,37.0
0.834861368,47.0
1.535516399,48.0
6.458241935,55.0
4.131146672,40.0
0.815218149,47.0
5.525908549,38.0
0.573799765,45.0
2.245424799,49.0
5.757458873,54.0
2.716778686,42.0
0.815453788,47.0
5.526224081,38.0
1.982727414,43.0
1.546620011,48.0
5.06198664,53.0
0.111795539,46.0
0.111355399,46.0
4.819417983,39.0
4.096247486,40.0
0.85017897,47.0
4.368713989,52.0
3.647469728,51.0
1.297268979,44.0
2.70109372,42.0
6.212823703,37.0
0.854980823,47.0
4.373883991,52.0
5.766255676,54.0
2.708803797,42.0
1.289741582,44.0
6.216207375,37.0
0.851682517,47.0
5.075455341,53.0
5.056726723,53.0
4.120456795,40.0
0.121736332,46.0
6.219442856,37.0
3.666670073,51.0
2.244295436,49.0
7.16807163,56.0
6.948977432,36.0
1.530797476,48.0
5.520483656,38.0
0.840475676,47.0
2.951293197,50.0
4.35008094,52.0
2.711405932,42.0
0.116610592,46.0
3.406969037,41.0
2.69045507,42.0
2.251447633,49.0
3.652977247,51.0
0.587630118,45.0
0.11906609,46.0
4.109452766,40.0
4.09542733,40.0
1.556115944,48.0
2.960260592,50.0
2.950259712,50.0
1.288029524,44.0
2.693175157,42.0
6.20787726,37.0
1.565063009,48.0
2.969378643,50.0
5.778607735,54.0
2.697740723,42.0
1.279305032,44.0
4.799052581,39.0
0.854998396,47.0
2.96662389,50.0
5.776235914,54.0
2.700278323,42.0
1.281916165,44.0
4.801959877,39.0
0.147313913,46.0
3.671081532,51.0
5.069099887,53.0
3.405336467,41.0
0.129785422,46.0
4.099880958,40.0
0.562572376,45.0
2.258751756,49.0
5.776178519,54.0
4.110471195,40.0
0.836669825,47.0
6.215096445,37.0
0.148405127,46.0
2.967672768,50.0
6.483258187,55.0
4.815678293,39.0
0.838611396,47.0
6.213512779,37.0
0.854956381,47.0
1.557343938,48.0
6.487491733,55.0
4.106740285,40.0
0.84048321,47.0
5.506989827,38.0
0.5555839,45.0
