std,overcrowding-threshold
0.0,40.0
0.0,40.0
0.0,40.0
7.778174593,40.0
6.599663291,40.0
7.071067812,40.0
10.18233765,40.0
0.942809042,40.0
0.808122036,40.0
6.275572683,40.0
3.849803586,40.0
0.353553391,40.0
8.678128678,40.0
5.362226424,40.0
0.380749805,40.0
5.555838995,40.0
1.225651754,40.0
0.839689303,40.0
6.114393931,40.0
7.778174593,40.0
2.009671904,40.0
2.793071786,40.0
5.353808486,40.0
1.735625736,40.0
5.103466334,40.0
4.890821903,40.0
4.016366517,40.0
2.937212783,40.0
3.509344766,40.0
2.702158057,40.0
5.583705272,40.0
1.296362432,40.0
5.360325599,40.0
5.08232999,40.0
2.871282081,40.0
0.727904039,40.0
5.475026791,40.0
1.885618083,40.0
4.586638581,40.0
4.484545639,40.0
2.991605613,40.0
0.848528137,40.0
6.070770414,40.0
3.16514464,40.0
3.782199062,40.0
4.596194078,40.0
3.111269837,40.0
0.415040937,40.0
4.558582015,40.0
3.078860776,40.0
3.708702914,40.0
3.988082246,40.0
1.830158728,40.0
0.285562354,40.0
3.749000104,40.0
3.679574176,40.0
2.918422533,40.0
3.384011024,40.0
1.935239612,40.0
0.182872443,40.0
1.570016751,40.0
3.62981481,40.0
4.961339383,40.0
2.771402384,40.0
1.335646142,40.0
4.79506786,40.0
4.329669214,40.0
1.478495997,40.0
4.939193636,40.0
2.100523085,40.0
3.463798435,40.0
5.505331368,40.0
5.726569003,40.0
1.4633182,40.0
4.232954293,40.0
2.799760634,40.0
2.762430492,40.0
4.121688211,40.0
5.004846698,40.0
0.054392829,40.0
4.242640687,40.0
2.793071786,40.0
1.361835282,40.0
4.139161646,40.0
3.595169418,40.0
0.757614408,40.0
4.941428565,40.0
2.104876,40.0
2.080682023,40.0
3.455180863,40.0
2.876097245,40.0
1.44564053,40.0
4.926436256,40.0
0.722478668,40.0
2.113717045,40.0
4.889568168,40.0
3.557863594,40.0
0.721838172,40.0
5.613115686,40.0
1.443075064,40.0
2.128462836,40.0
6.307392488,40.0
4.256642802,40.0
1.414213562,40.0
4.901691668,40.0
1.448209081,40.0
2.835161475,40.0
6.310594481,40.0
4.956355943,40.0
1.407666277,40.0
4.897849723,40.0
2.153461561,40.0
4.236270356,40.0
4.899239841,40.0
4.95600505,40.0
1.408010871,40.0
5.601515458,40.0
3.559916898,40.0
2.828427125,40.0
4.206686105,40.0
4.242640687,40.0
1.402428449,40.0
6.299678596,40.0
4.271620473,40.0
2.83417596,40.0
4.214128317,40.0
5.639883687,40.0
0.718330698,40.0
6.302715561,40.0
2.867097027,40.0
2.143246135,40.0
6.336764616,40.0
6.342369984,40.0
0.021427478,40.0
4.891264953,40.0
0.058046079,40.0
2.163222968,40.0
6.358761716,40.0
4.918779288,40.0
0.732726592,40.0
5.590721961,40.0
0.065659915,40.0
2.171469761,40.0
6.368940656,40.0
4.910189047,40.0
0.741480027,40.0
6.285935455,40.0
0.62477243,40.0
2.188663847,40.0
6.387849773,40.0
4.190438173,40.0
0.754247233,40.0
6.27498733,40.0
0.614066415,40.0
2.199887764,40.0
5.698178672,40.0
2.769121395,40.0
0.761499611,40.0
5.566776953,40.0
2.7210185,40.0
0.809392668,40.0
5.72314551,40.0
0.768594327,40.0
0.061107993,40.0
4.858647822,40.0
4.126226766,40.0
0.818529668,40.0
4.327834275,40.0
3.599046491,40.0
1.34266109,40.0
2.740561785,40.0
